date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.167691447736
2021-01-10,California,State,Other,69.0,43.12,221.28571428571,43.292342090553
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Epsilon,90.0,56.25,280.71428571428,54.918949133594
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.034686090878
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.27748872702
2021-01-11,California,State,Total,565.0,100.0,411.85714285714,100.0
2021-01-11,California,State,Epsilon,272.0,48.14,220.71428571428,53.590010405827
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.27748872702
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.734304543878
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.034686090878
2021-01-11,California,State,Other,279.0,49.38,181.42857142857,44.051335414499
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.635602890833
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.304298212248
2021-01-12,California,State,Epsilon,303.0,54.59,201.42857142857,53.632559908711
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038037276531
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.342335488779
2021-01-12,California,State,Other,241.0,43.42,165.14285714285,43.971091669836
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038037276531
2021-01-12,California,State,Total,555.0,100.0,375.57142857142,100.0
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038037276531
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Epsilon,331.0,58.27,219.14285714285,54.262469048461
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Alpha,9.0,1.58,7.0,1.733286169084
2021-01-13,California,State,Omicron,2.0,0.35,1.14285714285,0.282985496993
2021-01-13,California,State,Other,225.0,39.61,175.14285714285,43.36752741422
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Delta,1.0,0.18,1.0,0.247612309869
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Total,568.0,100.0,403.85714285714,100.0
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.498595067125
2021-01-14,California,State,Other,235.0,34.87,190.57142857142,41.648454573837
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031220730565
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031220730565
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031220730565
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.187324383391
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.218545113956
2021-01-14,California,State,Total,674.0,100.0,457.57142857142,100.0
2021-01-14,California,State,Epsilon,425.0,63.06,257.85714285714,56.353418669997
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.490066225166
2021-01-15,California,State,Other,238.0,41.9,215.28571428571,41.583885209713
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027593818985
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Epsilon,320.0,56.34,292.42857142857,56.484547461369
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027593818985
2021-01-15,California,State,Total,568.0,100.0,517.71428571428,100.0
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.165562913907
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027593818985
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.193156732892
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026150627615
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.699790794979
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Epsilon,388.0,52.86,304.14285714285,55.674686192469
2021-01-16,California,State,Total,734.0,100.0,546.28571428571,100.0
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.130753138075
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.15690376569
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026150627615
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026150627615
2021-01-16,California,State,Other,329.0,44.82,230.85714285714,42.259414225941
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050276520865
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.709401709402
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Other,128.0,40.76,239.28571428571,42.106586224233
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025138260432
2021-01-17,California,State,Epsilon,182.0,57.96,317.28571428571,55.832076420312
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.10055304173
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.150829562594
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025138260432
2021-01-17,California,State,Total,314.0,100.0,568.28571428571,100.0
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048076923077
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.120192307692
2021-01-18,California,State,Other,303.0,40.56,242.71428571428,40.841346153846
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048076923077
2021-01-18,California,State,Epsilon,430.0,57.56,339.85714285714,57.1875
2021-01-18,California,State,Total,747.0,100.0,594.28571428571,100.0
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.74,10.42857142857,1.754807692308
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.103799045049
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.062279427029
2021-01-19,California,State,Other,516.0,42.57,282.0,40.979862985261
2021-01-19,California,State,Epsilon,675.0,55.69,393.0,57.110234585842
2021-01-19,California,State,Total,1212.0,100.0,688.14285714285,100.0
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.72306414781
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.02075980901
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.044454323183
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022227161591
2021-01-20,California,State,Alpha,15.0,6.0,12.71428571428,1.97821738164
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Total,250.0,100.0,642.71428571428,100.0
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.088908646366
2021-01-20,California,State,Other,78.0,31.2,261.0,40.609024227606
2021-01-20,California,State,Epsilon,156.0,62.4,368.0,57.257168259613
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
